t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22665568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.63717489,NA,NA
22,1,MS,roots,0.01756811,5.52525446,0.01728316,0.02269403,0.00283061,1.02087685,0.13253161,0.00017787,NA,0.07285312,0.06384774,NA,NA,NA,0.05020707,0.60668553,1.03543189,NA,0.89561390,NA,NA,14.82966599,0.91598326,27.62627230,0.16082555,NA,2.12437438,9.19518033,0.00004919,0.03553542,24.64659271,NA,0.00000000,0.00005137,0.00000000,NA,NA,88.56535209,1.76173046,0.18690793
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13820658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.27835046,NA,NA
23,1,MS,roots,0.01803904,6.25962585,0.01743591,0.02266896,0.00282476,1.03990458,0.15572912,0.00017813,NA,0.07418331,0.06396082,NA,NA,NA,0.05071281,0.62294828,1.05284088,NA,0.90700370,NA,NA,14.88056603,1.02249453,31.29812926,0.16111037,NA,2.15723538,9.22460065,0.00005051,0.03558593,24.74749956,NA,0.00000000,0.00005110,0.00000000,NA,NA,86.71137808,1.80895521,0.18885694
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04691446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.69155968,NA,NA
24,1,MS,roots,0.01838874,6.92121613,0.01421825,0.01827912,0.00227572,1.05586395,0.17901927,0.00017838,NA,0.07529789,0.06386320,NA,NA,NA,0.05109881,0.63502443,1.06711550,NA,0.91526391,NA,NA,14.93775077,1.11463521,34.60608063,0.16086448,NA,2.19603138,9.25490357,0.00005149,0.03563741,24.85193840,NA,0.00000000,0.00004103,0.00000000,NA,NA,84.90263392,1.84402267,0.19025990
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95595786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.72124964,NA,NA
25,1,MS,roots,0.01859602,7.77448147,0.01950690,0.02473778,0.00307694,1.06822564,0.20867544,0.00017864,NA,0.07613461,0.06356219,NA,NA,NA,0.05135252,0.64218259,1.07739929,NA,0.91977418,NA,NA,14.99314601,1.22925266,38.87240733,0.16010627,NA,2.23283059,9.28460393,0.00005207,0.03568948,24.94864379,NA,0.00000000,0.00005530,0.00000000,NA,NA,83.18707893,1.86480897,0.19104932
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.86659056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.30690659,NA,NA
26,1,MS,roots,0.01882571,8.82857277,0.02746836,0.03439209,0.00427486,1.08218013,0.24514287,0.00017891,NA,0.07705831,0.06339027,NA,NA,NA,0.05165612,0.65011450,1.08886255,NA,0.92506061,NA,NA,15.04466054,1.36564407,44.14286387,0.15967322,NA,2.26551941,9.31333067,0.00005271,0.03574220,25.03467468,NA,0.00000000,0.00007658,0.00000000,NA,NA,81.59039125,1.88784214,0.19210470
