Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Hexose degraded in the soil (mol of hexose),Concentration of hexose in the main root tip (mol of hexose per g)
3.916666698,4.679999847936e-08,0.0,0.0008756912043416427,1.1104228512379679e-05,1.0847705619388691e-06,0.0011857217544616195,0.0,0.07083912758428196,0.00010078074101801792,3.3495485931438165e-05,6.538174231984855e-05,5.789509561463517e-06,5.462662060293522e-07,0.0,0.0,0.0,7.206498957950204e-08,7.572035987795491e-09,7.868186493516178e-06,6.024052195666348e-07,0.0,1.8195813258102173e-06,1.9433396147151423e-06,1.6827211283643174e-08,1.4444162286893437e-09,4.5057976265945325e-09,0.0026760084928122035
3.9583333649999997,4.5359999268480003e-08,0.0,0.000876131463858209,1.1180929931951047e-05,1.1121296170230633e-06,0.0011932666782000709,0.0,0.07136988293593584,0.00010149012201472904,3.325350609842919e-05,6.595222166629325e-05,5.7194963930702165e-06,5.570668034675513e-07,0.0,0.0,0.0,6.910421493411551e-08,7.59720463725303e-09,7.54492373845152e-06,5.746796645549379e-07,0.0,1.8591431594999484e-06,1.7891299911066486e-06,1.6825218476253083e-08,1.4647785240218131e-09,4.559842514032357e-09,0.00273623928540786
4.000000032,5.112000483264e-08,0.0,0.000876613866216361,1.1284341484981797e-05,1.1397557638320807e-06,0.001203719747316478,0.0,0.07206484359760636,0.00010244424347611038,3.303699961707493e-05,6.625018928832357e-05,5.860059432095444e-06,5.681228194426402e-07,0.0,0.0,0.0,9.574001805478926e-08,7.671534975961387e-09,1.0453069116407038e-05,5.352529723737961e-07,0.0,1.8347003136050631e-06,1.975263352630292e-06,1.7143299326767003e-08,1.4829255501749932e-09,4.604357801502907e-09,0.002795411008734512
4.041666698999999,7.812005727916797e-07,0.0,0.0008857909351116247,1.1453718176195946e-05,1.167717050854926e-06,0.0012213728651982786,0.0,0.07311860519916039,0.00010394036991701007,3.354123211648083e-05,6.669859981153379e-05,5.813986194581869e-06,5.790416766123488e-07,0.0,0.0,0.0,1.616855112986958e-07,7.691179915452535e-09,1.7653117881800243e-05,5.539361467716424e-07,0.0,1.8805789307978051e-06,1.8345056932842301e-06,1.7082395841632362e-08,1.5033241681163262e-09,4.660214503807565e-09,0.002853429378081284
4.083333366,1.1844003255839998e-06,0.0,0.000899786423327443,1.1642798545539826e-05,1.1959523727004603e-06,0.00124115275701401,0.0,0.07432241095989435,0.00010566677117242179,3.443385762084703e-05,6.699345577121413e-05,5.934495445785237e-06,5.902303552316002e-07,0.0,0.0,0.0,1.8116470660158155e-07,7.91566274229856e-09,1.977989181573173e-05,5.835496424356148e-07,0.0,1.8674590831091214e-06,1.9879683343124908e-06,1.741590895408217e-08,1.5213433605751026e-09,4.705886974255711e-09,0.0029113487007184392
4.125000033,1.3572001477151998e-06,0.0,0.0009158584292025548,1.1828602851964527e-05,1.2245439637466619e-06,0.0012605639648215138,0.0,0.0755009612523994,0.00010735899157261976,3.54665282573367e-05,6.754813018332297e-05,5.86346671893965e-06,6.013857647457514e-07,0.0,0.0,0.0,1.777879171427938e-07,8.016389281907443e-09,1.9411207807503702e-05,6.490590224510902e-07,0.0,1.905534420129817e-06,1.8345056932842306e-06,1.746261857950765e-08,1.541943890989454e-09,4.765265174366928e-09,0.0029698061536478975
4.1666666999999995,1.4364000748511997e-06,0.0,0.0009328799777221201,1.2014938052318621e-05,1.2534611420417511e-06,0.0012800168966983954,0.0,0.07668723309224877,0.00010905853595779407,3.6549510546493156e-05,6.775178721104662e-05,6.2094706148453295e-06,6.128158559106498e-07,0.0,8.91088606174793e-09,0.0,1.7817006932327462e-07,8.165131030819912e-09,1.945293187688153e-05,7.068355713895002e-07,0.0,1.8810243637365335e-06,2.2270282596422138e-06,1.7810918225635952e-08,1.5612973448892629e-09,4.819529715848195e-09,0.0030290654062433645
4.208333367,1.4724000408671998e-06,0.0,0.0009505079880394425,1.2144292953356658e-05,1.2827540482521357e-06,0.001296473566768303,0.0,0.07750254928033001,0.00011018488868105438,3.766524393765135e-05,6.846924472052076e-05,6.0780840098894644e-06,6.23884199360458e-07,0.0,0.0,0.0,1.2126279627011197e-07,8.09210476792427e-09,1.3239692412997803e-05,7.133332994179713e-07,0.0,2.011268000417676e-06,1.8798813954618125e-06,1.7532892551674353e-08,1.5823980668022617e-09,4.882151035064081e-09,0.00308918790881779
4.250000034,1.4904000266112002e-06,0.0,0.0009680635935069748,1.2326084265046936e-05,1.312299954199613e-06,0.0013121951485590888,0.0,0.07866058303780285,0.00011184171737300935,3.8728462549013786e-05,6.896673041422493e-05,6.272722714043641e-06,6.352604859752919e-07,0.0,0.0,0.0,1.7345891462710592e-07,8.332397063173066e-09,1.5721581790785874e-05,8.543628304975682e-07,0.0,1.9632118238923754e-06,2.1578505280465523e-06,1.7899614939622503e-08,1.5990106668756025e-09,4.924317657912884e-09,0.003150362582388111
4.291666701,1.4976000179135998e-06,0.0,0.0009858226292672055,1.2508376015693723e-05,1.3421726582856108e-06,0.0013311744463323334,0.0,0.07981662262966722,0.00011342595711466581,3.975682274673588e-05,6.987919181443119e-05,6.1360931314822745e-06,6.46659540693935e-07,0.0,0.0,0.0,1.7383203834609652e-07,8.459712300689578e-09,1.8979297773244663e-05,9.384796403830168e-07,0.0,2.016510978023176e-06,1.879881395461812e-06,1.7996002975189547e-08,1.6181642422135862e-09,4.97878401433296e-09,0.0032125003677099103
